wallsMaterial;floorNumber;floorsTotal;totalArea;kitchenArea;latitude;longitude;price
4;1;12;17;4;55,737856;37,710153;750000
5;1;4;21;4;55,53561;37,159935;1000000
3;1;16;27;3;55,738753;37,707332;1100000
2;1;3;17;2;55,626147;37,463996;1250000
2;2;3;20;5;55,399229;37,44135;1400000
2;3;3;24;4;55,626147;37,463996;1450000
3;1;9;11,4;2;55,724069;37,807368;1950000
3;7;12;64;8;55,653431;37,717815;1950000
4;1;9;12,3;2;55,724069;37,807368;2100000
3;7;9;10,6;1,5;55,863833;37,539024;2196000
3;5;9;11,2;1,5;55,863833;37,539024;2285000
3;1;9;13;2;55,624083;37,604825;2399000
5;3;3;35;11;55,486193;36,918809;2450000
3;7;9;12,4;1,5;55,863833;37,539024;2451000
3;1;12;15;3;55,616437;37,736994;2500000
3;1;9;16;5;55,606527;37,740165;2500000
2;2;3;25;5;55,621292;37,429905;2500000
3;1;14;14;2;55,667213;37,744702;2550000
1;2;5;23;6;55,582881;37,4643;2550000
3;1;9;16;2;55,603863;37,58641;2550000
3;1;9;16;2;55,603863;37,58641;2600000
3;1;9;16,8;2;55,816773;37,815866;2600000
3;14;16;18,6;2;55,867041;37,709596;2641200
2;2;5;12;2;55,749927;37,714204;2650000
5;4;4;41;12;55,214907;37,067246;2650000
3;14;16;14,8;2,1;55,867041;37,709596;2664000
3;14;16;18,8;2;55,867041;37,709596;2669600
3;14;16;14,9;2;55,867041;37,709596;2682000
3;13;16;18,9;2;55,867041;37,709596;2683800
3;13;16;19;2;55,867041;37,709596;2698000
3;2;25;16,5;3;55,702074;37,934678;2700000
5;3;5;56;31;55,337013;37,325233;2700000
3;2;17;19;2,5;55,700689;37,922389;2750000
3;1;5;29,4;7,5;55,318742;37,161192;2750000
4;2;3;35,5;11;55,496537;36,921665;2750000
3;2;5;17;3;55,722984;37,79172;2750000
4;1;3;20;5;55,647209;37,327614;2750000
4;1;9;16,6;2;55,721838;37,814744;2750000
4;1;9;16,6;2;55,721838;37,814744;2800000
2;1;5;45;6;55,796764;37,583023;2800000
3;1;9;14;3;55,721838;37,814744;2800000
5;4;4;43;10;55,537021;37,157806;2800000
2;3;5;45,6;10;55,351001;37,339023;2800000
3;2;5;33,9;9;55,801035;37,810414;2800000
3;1;17;13;2;55,612492;37,724427;2800000
5;1;3;35;11;55,498872;36,922142;2800000
3;4;9;15,5;2;55,863833;37,539024;2809000
2;2;8;11,5;2;55,739058;37,519791;2850000
2;1;3;36;11,1;55,498872;36,922142;2850000
5;3;3;35;8,3;55,495012;36,915629;2850000
5;3;3;35;11;55,486976;36,914997;2850000
2;3;4;42;12;55,215667;37,067417;2850000
2;2;4;42,7;11,5;55,214907;37,067246;2850000
2;2;4;40;8;55,215559;37,068226;2850000
1;1;3;36;11;55,499642;36,915898;2860000
5;1;3;36;11;55,499642;36,915898;2860000
1;1;3;35,4;11;55,499642;36,915898;2860000
3;10;12;39;9;55,58351;37,674849;2900000
3;1;17;18;3;55,847255;37,416808;2900000
5;3;3;35;10,5;55,498872;36,922142;2900000
1;1;3;35;10,8;55,498872;36,922142;2900000
4;1;3;38;10,8;55,493472;36,918863;2900000
3;1;17;15;2;55,639329;37,35831;2900000
3;3;3;34,7;11;55,495425;36,917488;2900000
1;2;3;37;12;55,497556;36,922321;2900000
2;1;5;14,9;2;55,801384;37,544324;2940000
5;3;3;35,5;11;55,498872;36,922142;2950000
5;3;3;35;8,5;55,495537;36,915341;2950000
5;1;3;35;10,5;55,497409;36,912557;2950000
3;1;12;11,7;3;55,858544;37,589159;2950000
5;1;3;36;8;55,499479;36,921046;2950000
2;4;4;60;8,3;55,215559;37,068226;2950000
3;14;16;18,7;2;55,867041;37,709596;2954600
3;10;16;18,5;2;55,867041;37,709596;2960000
2;1;5;11,9;1,5;55,735976;37,657817;2990000
3;1;17;20;4;55,715347;37,880141;2999999
3;1;12;14;4;55,63721;37,606775;3000000
3;1;9;15;2;55,855219;37,442266;3000000
2;1;3;36;11;55,499642;36,915898;3000000
2;1;3;36,6;12,4;55,497847;36,916545;3000000
5;2;3;35,6;10,2;55,496537;36,921665;3000000
2;4;4;60,3;9;55,214907;37,067246;3000000
3;2;17;22;3;55,703048;37,918409;3050000
3;1;9;15,5;2;55,609314;37,71345;3050000
3;5;5;29;5,6;55,429389;36,870947;3070000
2;1;15;13;2;55,633333;37,664177;3085000
4;1;10;20,6;3;55,578294;37,655841;3100000
5;3;3;59,4;10;55,535901;37,157877;3100000
3;2;17;20;5;55,699548;37,936699;3100000
4;1;10;20,6;3;55,578294;37,655841;3100000
3;4;5;31;7,5;55,347941;37,392372;3100000
2;1;3;35,8;11;55,498632;36,918288;3100000
3;1;17;15;3;55,672448;37,761599;3100000
4;1;10;19,7;5;55,578294;37,655841;3100000
3;1;12;15;3;55,612492;37,724427;3100000
3;3;9;29;6;55,432378;36,867856;3100000
5;4;4;61;8;55,214907;37,067246;3100000
5;3;13;22,46;4;55,530831;37,44691;3100001
5;2;3;35,2;10,1;55,499642;36,915898;3130000
3;1;9;20,3;2,5;55,721087;37,813809;3150000
